Dec-06-2023 11:15:44 [info] 		"Running server on 4000"
Dec-06-2023 11:26:03 [info] 		createUser : {"UserAccountId":"100000000007","KycStatus":true,"WalletAddress":"0x55aE84A510ceFA0Adb98e029189B2E8b87342670","Group":"1","Data":{}}
Dec-06-2023 11:45:07 [info] 		createUser : {"UserAccountId":"305","KycStatus":true,"WalletAddress":"0x1554355E1dbd7C5B4c2fCaCB77660429Ff9D6E24","Group":"0","Data":{}}
Dec-06-2023 11:45:32 [info] 		Get users details{"UserAccountId":"305","KycStatus":true,"WalletAddress":"0x1554355E1dbd7C5B4c2fCaCB77660429Ff9D6E24","Group":"0","Data":{}}
Dec-06-2023 11:45:37 [info] 		Get users details{"UserAccountId":"305","KycStatus":true,"WalletAddress":"0x1554355E1dbd7C5B4c2fCaCB77660429Ff9D6E24","Group":"0","Data":{}}
Dec-06-2023 11:51:11 [info] 		Get users details{"UserAccountId":"305","KycStatus":true,"WalletAddress":"0x1554355E1dbd7C5B4c2fCaCB77660429Ff9D6E24","Group":"0","Data":{}}
Dec-06-2023 12:00:13 [info] 		Get users details{"UserAccountId":"305","KycStatus":true,"WalletAddress":"0x1554355E1dbd7C5B4c2fCaCB77660429Ff9D6E24","Group":"0","Data":{}}
Dec-06-2023 12:01:22 [info] 		Get users details{"UserAccountId":"305","KycStatus":true,"WalletAddress":"0x1554355E1dbd7C5B4c2fCaCB77660429Ff9D6E24","Group":"0","Data":{}}
Dec-06-2023 12:35:29 [info] 		Get users details{"UserAccountId":"305","KycStatus":true,"WalletAddress":"0x1554355E1dbd7C5B4c2fCaCB77660429Ff9D6E24","Group":"0","Data":{}}
Dec-06-2023 12:37:22 [info] 		Get users details{"UserAccountId":"305","KycStatus":true,"WalletAddress":"0x1554355E1dbd7C5B4c2fCaCB77660429Ff9D6E24","Group":"0","Data":{}}
Dec-06-2023 12:39:25 [info] 		Get users details{"UserAccountId":"305","KycStatus":true,"WalletAddress":"0x1554355E1dbd7C5B4c2fCaCB77660429Ff9D6E24","Group":"0","Data":{}}
Dec-06-2023 12:42:13 [info] 		Get users details{"UserAccountId":"305","KycStatus":true,"WalletAddress":"0x1554355E1dbd7C5B4c2fCaCB77660429Ff9D6E24","Group":"0","Data":{}}
Dec-06-2023 12:45:46 [info] 		Get users details{"UserAccountId":"305","KycStatus":true,"WalletAddress":"0x1554355E1dbd7C5B4c2fCaCB77660429Ff9D6E24","Group":"0","Data":{}}
Dec-06-2023 13:24:07 [info] 		Get users details{"UserAccountId":"305","KycStatus":true,"WalletAddress":"0x1554355E1dbd7C5B4c2fCaCB77660429Ff9D6E24","Group":"0","Data":{}}
Dec-06-2023 13:24:08 [info] 		Get users details{"UserAccountId":"305","KycStatus":true,"WalletAddress":"0x1554355E1dbd7C5B4c2fCaCB77660429Ff9D6E24","Group":"0","Data":{}}
Dec-06-2023 13:24:08 [info] 		Get users details{"UserAccountId":"305","KycStatus":true,"WalletAddress":"0x1554355E1dbd7C5B4c2fCaCB77660429Ff9D6E24","Group":"0","Data":{}}
Dec-06-2023 13:29:43 [info] 		createUser : {"UserAccountId":"311","KycStatus":true,"WalletAddress":"0xeE74735530a8029D1BA3008799D1d9c705219c47","Group":"1","Data":{}}
Dec-06-2023 13:29:49 [info] 		Get users details{"UserAccountId":"311","KycStatus":true,"WalletAddress":"0xeE74735530a8029D1BA3008799D1d9c705219c47","Group":"1","Data":{}}
Dec-06-2023 13:29:56 [info] 		Get users details{"UserAccountId":"311","KycStatus":true,"WalletAddress":"0xeE74735530a8029D1BA3008799D1d9c705219c47","Group":"1","Data":{}}
Dec-06-2023 13:30:23 [info] 		createUser : {"UserAccountId":"310","KycStatus":true,"WalletAddress":"0x8fae48171C94A57FBE650A01B0597bb27a91b89E","Group":"0","Data":{}}
Dec-06-2023 13:30:27 [info] 		Get users details{"UserAccountId":"310","KycStatus":true,"WalletAddress":"0x8fae48171C94A57FBE650A01B0597bb27a91b89E","Group":"0","Data":{}}
Dec-06-2023 13:43:09 [info] 		Get users details{"UserAccountId":"311","KycStatus":true,"WalletAddress":"0xeE74735530a8029D1BA3008799D1d9c705219c47","Group":"1","Data":{}}
Dec-06-2023 13:43:44 [info] 		Get users details{"UserAccountId":"311","KycStatus":true,"WalletAddress":"0xeE74735530a8029D1BA3008799D1d9c705219c47","Group":"1","Data":{}}
Dec-06-2023 13:43:54 [info] 		Get users details{"UserAccountId":"310","KycStatus":true,"WalletAddress":"0x8fae48171C94A57FBE650A01B0597bb27a91b89E","Group":"0","Data":{}}
Dec-06-2023 13:45:01 [info] 		Get users details{"UserAccountId":"311","KycStatus":true,"WalletAddress":"0xeE74735530a8029D1BA3008799D1d9c705219c47","Group":"1","Data":{}}
Dec-06-2023 13:55:18 [info] 		Get users details{"UserAccountId":"310","KycStatus":true,"WalletAddress":"0x8fae48171C94A57FBE650A01B0597bb27a91b89E","Group":"0","Data":{}}
Dec-06-2023 14:04:31 [info] 		createUser : {"UserAccountId":"312","KycStatus":true,"WalletAddress":"0x0F751D6a2bF20D3c38CAB046248FFD014A6Bf22a","Group":"0","Data":{}}
Dec-06-2023 14:05:50 [info] 		Get users details{"UserAccountId":"312","KycStatus":true,"WalletAddress":"0x0F751D6a2bF20D3c38CAB046248FFD014A6Bf22a","Group":"0","Data":{}}
Dec-06-2023 14:05:56 [info] 		Get users details{"UserAccountId":"312","KycStatus":true,"WalletAddress":"0x0F751D6a2bF20D3c38CAB046248FFD014A6Bf22a","Group":"0","Data":{}}
Dec-06-2023 14:05:57 [info] 		Get users details{"UserAccountId":"310","KycStatus":true,"WalletAddress":"0x8fae48171C94A57FBE650A01B0597bb27a91b89E","Group":"0","Data":{}}
Dec-06-2023 14:09:36 [info] 		Get users details{"UserAccountId":"311","KycStatus":true,"WalletAddress":"0xeE74735530a8029D1BA3008799D1d9c705219c47","Group":"1","Data":{}}
Dec-06-2023 14:19:47 [info] 		createUser : {"UserAccountId":"313","KycStatus":true,"WalletAddress":"0x11eC979D32E14A4c45C370B640F08a9eBb85308e","Group":"0","Data":{}}
Dec-06-2023 14:27:49 [info] 		Get users details{"UserAccountId":"310","KycStatus":true,"WalletAddress":"0x8fae48171C94A57FBE650A01B0597bb27a91b89E","Group":"0","Data":{}}
Dec-06-2023 14:27:49 [info] 		Get users details{"UserAccountId":"310","KycStatus":true,"WalletAddress":"0x8fae48171C94A57FBE650A01B0597bb27a91b89E","Group":"0","Data":{}}
Dec-06-2023 14:27:49 [info] 		Get users details{"UserAccountId":"310","KycStatus":true,"WalletAddress":"0x8fae48171C94A57FBE650A01B0597bb27a91b89E","Group":"0","Data":{}}
Dec-06-2023 14:29:22 [info] 		Get users details{"UserAccountId":"313","KycStatus":true,"WalletAddress":"0x11eC979D32E14A4c45C370B640F08a9eBb85308e","Group":"0","Data":{}}
Dec-06-2023 14:29:41 [info] 		Get users details{"UserAccountId":"312","KycStatus":true,"WalletAddress":"0x0F751D6a2bF20D3c38CAB046248FFD014A6Bf22a","Group":"0","Data":{}}
Dec-06-2023 14:30:24 [info] 		Get users details{"UserAccountId":"312","KycStatus":true,"WalletAddress":"0x0F751D6a2bF20D3c38CAB046248FFD014A6Bf22a","Group":"0","Data":{}}
Dec-06-2023 14:30:24 [info] 		Get users details{"UserAccountId":"312","KycStatus":true,"WalletAddress":"0x0F751D6a2bF20D3c38CAB046248FFD014A6Bf22a","Group":"0","Data":{}}
Dec-06-2023 14:30:24 [info] 		Get users details{"UserAccountId":"312","KycStatus":true,"WalletAddress":"0x0F751D6a2bF20D3c38CAB046248FFD014A6Bf22a","Group":"0","Data":{}}
Dec-06-2023 14:31:28 [info] 		Get users details{"UserAccountId":"313","KycStatus":true,"WalletAddress":"0x11eC979D32E14A4c45C370B640F08a9eBb85308e","Group":"0","Data":{}}
Dec-06-2023 14:31:29 [info] 		Get users details{"UserAccountId":"313","KycStatus":true,"WalletAddress":"0x11eC979D32E14A4c45C370B640F08a9eBb85308e","Group":"0","Data":{}}
Dec-06-2023 14:31:29 [info] 		Get users details{"UserAccountId":"313","KycStatus":true,"WalletAddress":"0x11eC979D32E14A4c45C370B640F08a9eBb85308e","Group":"0","Data":{}}
Dec-06-2023 14:33:08 [info] 		Get users details{"UserAccountId":"311","KycStatus":true,"WalletAddress":"0xeE74735530a8029D1BA3008799D1d9c705219c47","Group":"1","Data":{}}
Dec-06-2023 14:38:17 [info] 		Get users details{"UserAccountId":"310","KycStatus":true,"WalletAddress":"0x8fae48171C94A57FBE650A01B0597bb27a91b89E","Group":"0","Data":{}}
Dec-06-2023 14:38:17 [info] 		Get users details{"UserAccountId":"312","KycStatus":true,"WalletAddress":"0x0F751D6a2bF20D3c38CAB046248FFD014A6Bf22a","Group":"0","Data":{}}
Dec-06-2023 14:38:17 [info] 		Get users details{"UserAccountId":"312","KycStatus":true,"WalletAddress":"0x0F751D6a2bF20D3c38CAB046248FFD014A6Bf22a","Group":"0","Data":{}}
Dec-06-2023 14:38:17 [info] 		Get users details{"UserAccountId":"313","KycStatus":true,"WalletAddress":"0x11eC979D32E14A4c45C370B640F08a9eBb85308e","Group":"0","Data":{}}
